bank_stmt_id,invoice_ref,system_status,system_reason,confidence,canonical_id
BNK-202608-3043,INV-2026-2043,REVIEW,Gateway amount mismatch due to fee deduction (₹2479.64),0.85,CANON-1043
BNK-202608-3044,INV-2026-2044,MATCH,Exact match across sources,1.0,CANON-1044
BNK-202608-3045,INV-2026-2045,DUPLICATE,Found 2 gateway transactions for this invoice,0.99,CANON-1045
BNK-202608-3046,INV-2026-2046,MATCH,Exact match across sources,1.0,CANON-1046
BNK-202608-3047,INV-2026-2047,MATCH,Exact match across sources,1.0,CANON-1047
BNK-202608-3048,INV-2026-2048,MATCH,Exact match across sources,1.0,CANON-1048
BNK-202608-3049,INV-2026-2049,MATCH,Exact match across sources,1.0,CANON-1049
BNK-202608-3050,INV-2026-2050,MATCH,Exact match across sources,1.0,CANON-1050
BNK-202608-3051,INV-2026-2051,MATCH,Exact match across sources,1.0,CANON-1051
BNK-202608-3052,INV-2026-2052,MATCH,Exact match across sources,1.0,CANON-1052
BNK-202608-3053,INV-2026-2053,DUPLICATE,Found 2 gateway transactions for this invoice,0.99,CANON-1053
BNK-202608-3054,INV-2026-2054,EXCEPTION,Invoice missing in ERP,0.0,CANON-1054
BNK-202608-3055,INV-2026-2055,REVIEW,Gateway amount mismatch due to fee deduction (₹1496.44),0.85,CANON-1055
BNK-202608-3056,INV-2026-2056,REVIEW,Gateway amount mismatch due to fee deduction (₹2691.81),0.85,CANON-1056
BNK-202608-3057,INV-2026-2057,MATCH,Exact match across sources,1.0,CANON-1057
BNK-202608-3058,INV-2026-2058,MATCH,Exact match across sources,1.0,CANON-1058
BNK-202608-3059,INV-2026-2059,MATCH,Exact match across sources,1.0,CANON-1059
BNK-202608-3060,INV-2026-2060,MATCH,Exact match across sources,1.0,CANON-1060
BNK-202608-3061,INV-2026-2061,MATCH,Exact match across sources,1.0,CANON-1061
BNK-202608-3062,INV-2026-2062,EXCEPTION,Invoice missing in ERP,0.0,CANON-1062
BNK-202608-3063,INV-2026-2063,MATCH,Exact match across sources,1.0,CANON-1063
BNK-202608-3064,INV-2026-2064,MATCH,Exact match across sources,1.0,CANON-1064
BNK-202608-3065,INV-2026-2065,DUPLICATE,Found 2 gateway transactions for this invoice,0.99,CANON-1065
BNK-202608-3066,INV-2026-2066,MATCH,Exact match across sources,1.0,CANON-1066
BNK-202608-3067,INV-2026-2067,MATCH,Exact match across sources,1.0,CANON-1067
BNK-202608-3068,INV-2026-2068,MATCH,Exact match across sources,1.0,CANON-1068
BNK-202608-3069,INV-2026-2069,MATCH,Exact match across sources,1.0,CANON-1069
BNK-202608-3070,INV-2026-2070,MATCH,Exact match across sources,1.0,CANON-1070
BNK-202608-3071,INV-2026-2071,DUPLICATE,Found 2 gateway transactions for this invoice,0.99,CANON-1071
BNK-202608-3072,INV-2026-2072,DUPLICATE,Found 2 gateway transactions for this invoice,0.99,CANON-1072
BNK-202608-3073,INV-2026-2073,MATCH,Exact match across sources,1.0,CANON-1073
BNK-202608-3074,INV-2026-2074,MATCH,Exact match across sources,1.0,CANON-1074
BNK-202608-3075,INV-2026-2075,MATCH,Exact match across sources,1.0,CANON-1075
BNK-202608-3076,INV-2026-2076,MATCH,Exact match across sources,1.0,CANON-1076
BNK-202608-3077,INV-2026-2077,EXCEPTION,Invoice missing in ERP,0.0,CANON-1077
BNK-202608-3078,INV-2026-2078,MATCH,Exact match across sources,1.0,CANON-1078
BNK-202608-3079,INV-2026-2079,MATCH,Exact match across sources,1.0,CANON-1079
BNK-202608-3080,INV-2026-2080,MATCH,Exact match across sources,1.0,CANON-1080
BNK-202608-3081,INV-2026-2081,MATCH,Exact match across sources,1.0,CANON-1081
BNK-202608-3082,INV-2026-2082,MATCH,Exact match across sources,1.0,CANON-1082
BNK-202608-3083,INV-2026-2083,MATCH,Exact match across sources,1.0,CANON-1083
BNK-202608-3084,INV-2026-2084,MATCH,Exact match across sources,1.0,CANON-1084
BNK-202608-3085,INV-2026-2085,MATCH,Exact match across sources,1.0,CANON-1085
BNK-202608-3086,INV-2026-2086,MATCH,Exact match across sources,1.0,CANON-1086
BNK-202608-3087,INV-2026-2087,MATCH,Exact match across sources,1.0,CANON-1087
BNK-202608-3088,INV-2026-2088,REVIEW,Gateway amount mismatch due to fee deduction (₹3314.68),0.85,CANON-1088
BNK-202608-3089,INV-2026-2089,MATCH,Exact match across sources,1.0,CANON-1089
BNK-202608-3090,INV-2026-2090,MATCH,Exact match across sources,1.0,CANON-1090
BNK-202608-3091,INV-2026-2091,MATCH,Exact match across sources,1.0,CANON-1091
BNK-202608-3092,INV-2026-2092,REVIEW,Gateway amount mismatch due to fee deduction (₹4470.9),0.85,CANON-1092
BNK-202608-3093,INV-2026-2093,MATCH,Exact match across sources,1.0,CANON-1093
BNK-202608-3094,INV-2026-2094,MATCH,Exact match across sources,1.0,CANON-1094
BNK-202608-3095,INV-2026-2095,MATCH,Exact match across sources,1.0,CANON-1095
BNK-202608-3096,INV-2026-2096,MATCH,Exact match across sources,1.0,CANON-1096
BNK-202608-3097,INV-2026-2097,MATCH,Exact match across sources,1.0,CANON-1097
BNK-202608-3098,INV-2026-2098,MATCH,Exact match across sources,1.0,CANON-1098
BNK-202608-3099,INV-2026-2099,MATCH,Exact match across sources,1.0,CANON-1099
BNK-202608-3100,INV-2026-2100,MATCH,Exact match across sources,1.0,CANON-1100
BNK-202608-3101,INV-2026-2101,MATCH,Exact match across sources,1.0,CANON-1101
BNK-202608-3102,INV-2026-2102,MATCH,Exact match across sources,1.0,CANON-1102
BNK-202608-3103,INV-2026-2103,MATCH,Exact match across sources,1.0,CANON-1103
BNK-202608-3104,INV-2026-2104,MATCH,Exact match across sources,1.0,CANON-1104
BNK-202608-3105,INV-2026-2105,MATCH,Exact match across sources,1.0,CANON-1105
BNK-202608-3106,INV-2026-2106,MATCH,Exact match across sources,1.0,CANON-1106
BNK-202608-3107,INV-2026-2107,DUPLICATE,Found 2 gateway transactions for this invoice,0.99,CANON-1107
BNK-202608-3108,INV-2026-2108,MATCH,Exact match across sources,1.0,CANON-1108
BNK-202608-3109,INV-2026-2109,EXCEPTION,Invoice missing in ERP,0.0,CANON-1109
BNK-202608-3110,INV-2026-2110,MATCH,Exact match across sources,1.0,CANON-1110
BNK-202608-3111,INV-2026-2111,EXCEPTION,Invoice missing in ERP,0.0,CANON-1111
BNK-202608-3112,INV-2026-2112,MATCH,Exact match across sources,1.0,CANON-1112
BNK-202608-3113,INV-2026-2113,MATCH,Exact match across sources,1.0,CANON-1113
BNK-202608-3114,INV-2026-2114,MATCH,Exact match across sources,1.0,CANON-1114
BNK-202608-3115,INV-2026-2115,REVIEW,Gateway amount mismatch due to fee deduction (₹1772.03),0.85,CANON-1115
BNK-202608-3116,INV-2026-2116,MATCH,Exact match across sources,1.0,CANON-1116
BNK-202608-3117,INV-2026-2117,MATCH,Exact match across sources,1.0,CANON-1117
BNK-202608-3118,INV-2026-2118,MATCH,Exact match across sources,1.0,CANON-1118
BNK-202608-3119,INV-2026-2119,MATCH,Exact match across sources,1.0,CANON-1119
BNK-202608-3120,INV-2026-2120,MATCH,Exact match across sources,1.0,CANON-1120
BNK-202608-3121,INV-2026-2121,MATCH,Exact match across sources,1.0,CANON-1121
BNK-202608-3122,INV-2026-2122,MATCH,Exact match across sources,1.0,CANON-1122
BNK-202608-3123,INV-2026-2123,MATCH,Exact match across sources,1.0,CANON-1123
BNK-202608-3124,INV-2026-2124,MATCH,Exact match across sources,1.0,CANON-1124
BNK-202608-3125,INV-2026-2125,MATCH,Exact match across sources,1.0,CANON-1125
BNK-202608-3126,INV-2026-2126,MATCH,Exact match across sources,1.0,CANON-1126
BNK-202608-3127,INV-2026-2127,MATCH,Exact match across sources,1.0,CANON-1127
BNK-202608-3128,INV-2026-2128,MATCH,Exact match across sources,1.0,CANON-1128
BNK-202608-3129,INV-2026-2129,DUPLICATE,Found 2 gateway transactions for this invoice,0.99,CANON-1129
BNK-202608-3130,INV-2026-2130,MATCH,Exact match across sources,1.0,CANON-1130
BNK-202608-3131,INV-2026-2131,DUPLICATE,Found 2 gateway transactions for this invoice,0.99,CANON-1131
BNK-202608-3132,INV-2026-2132,MATCH,Exact match across sources,1.0,CANON-1132
BNK-202608-3133,INV-2026-2133,MATCH,Exact match across sources,1.0,CANON-1133
BNK-202608-3134,INV-2026-2134,MATCH,Exact match across sources,1.0,CANON-1134
BNK-202608-3135,INV-2026-2135,MATCH,Exact match across sources,1.0,CANON-1135
BNK-202608-3136,INV-2026-2136,MATCH,Exact match across sources,1.0,CANON-1136
BNK-202608-3137,INV-2026-2137,MATCH,Exact match across sources,1.0,CANON-1137
BNK-202608-3138,INV-2026-2138,DUPLICATE,Found 2 gateway transactions for this invoice,0.99,CANON-1138
BNK-202608-3139,INV-2026-2139,MATCH,Exact match across sources,1.0,CANON-1139
BNK-202608-3140,INV-2026-2140,MATCH,Exact match across sources,1.0,CANON-1140
BNK-202608-3141,INV-2026-2141,MATCH,Exact match across sources,1.0,CANON-1141
BNK-202608-3142,INV-2026-2142,MATCH,Exact match across sources,1.0,CANON-1142
BNK-202608-3143,INV-2026-2143,MATCH,Exact match across sources,1.0,CANON-1143
BNK-202608-3144,INV-2026-2144,MATCH,Exact match across sources,1.0,CANON-1144
BNK-202608-3145,INV-2026-2145,MATCH,Exact match across sources,1.0,CANON-1145
BNK-202608-3146,INV-2026-2146,MATCH,Exact match across sources,1.0,CANON-1146
BNK-202608-3147,INV-2026-2147,MATCH,Exact match across sources,1.0,CANON-1147
BNK-202608-3148,INV-2026-2148,MATCH,Exact match across sources,1.0,CANON-1148
BNK-202608-3149,INV-2026-2149,MATCH,Exact match across sources,1.0,CANON-1149
BNK-202608-3150,INV-2026-2150,MATCH,Exact match across sources,1.0,CANON-1150
